Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,10.33,10.37,10.06,10.12,7.918132000000001,68237000
2012-06-04,10.15,10.18,9.91,10.04,7.855539,57305600
2012-06-05,10.01,10.24,9.97,10.19,7.9729,38326200
2012-06-06,10.29,10.58,10.27,10.57,8.270223,50458000
2012-06-07,10.73,10.78,10.52,10.55,8.254574,33846100
2012-06-08,10.48,10.68,10.38,10.66,8.340639,30811600
2012-06-11,10.77,10.8,10.45,10.45,8.176331,35811400
2012-06-12,10.47,10.55,10.31,10.5,8.215453,35130800
2012-06-13,10.39,10.49,10.22,10.3,8.058968,41384200
2012-06-14,10.27,10.45,10.21,10.41,8.145033999999999,37531800
2012-06-15,10.4,10.42,10.26,10.35,8.098091,39442000
2012-06-18,10.35,10.4,10.26,10.34,8.090264999999999,27361000
2012-06-19,10.37,10.64,10.35,10.56,8.262399,37155900
2012-06-20,10.58,10.74,10.52,10.65,8.332815,40810100
2012-06-21,10.65,10.68,10.25,10.27,8.035498,40062800
2012-06-22,10.35,10.4,10.18,10.19,7.9729,56427300
2012-06-25,10.13,10.18,9.95,10.01,7.832064,44297600
2012-06-26,10.06,10.08,9.96,10.01,7.832064,31871900
2012-06-27,10.05,10.1,9.97,10.02,7.839889,33278900
2012-06-28,9.93,10.09,9.93,10.09,7.894659,38648400
2012-06-29,9.95,9.98,9.46,9.59,7.503447,138138600
2012-07-02,9.5,9.6,9.3,9.39,7.3469619999999995,63388600
2012-07-03,9.53,9.79,9.49,9.6,7.511271000000001,49629300
2012-07-05,9.67,9.74,9.53,9.57,7.487799000000001,31783900
2012-07-06,9.47,9.52,9.4,9.5,7.433028,30355400
2012-07-09,9.46,9.47,9.31,9.45,7.3939070000000005,37441600
2012-07-10,9.5,9.55,9.28,9.35,7.3156669999999995,33516600
2012-07-11,9.33,9.38,9.26,9.33,7.300018,32028700
2012-07-12,9.26,9.28,9.12,9.13,7.143530999999999,55111000
2012-07-13,9.16,9.32,9.14,9.27,7.253071,30248300
2012-07-16,9.22,9.32,9.15,9.26,7.245246000000001,28838200
2012-07-17,9.28,9.35,9.12,9.34,7.3078389999999995,29510000
2012-07-18,9.38,9.52,9.34,9.38,7.339139,31010000
2012-07-19,9.45,9.5,9.33,9.35,7.3156669999999995,33615000
2012-07-20,9.28,9.35,9.18,9.21,7.206125,27968300
2012-07-23,9.08,9.21,9.05,9.17,7.174828999999999,33773800
2012-07-24,9.17,9.24,8.95,9.06,7.088761999999999,53519200
2012-07-25,9.17,9.2,8.91,8.97,7.018342999999999,44338200
2012-07-26,9.05,9.11,8.83,8.96,7.01052,51798900
2012-07-27,8.99,9.1,8.88,9.0,7.041817999999999,67986800
2012-07-30,9.04,9.18,9.01,9.1,7.1200589999999995,40958300
2012-07-31,9.13,9.28,9.12,9.24,7.229597999999999,41360900
2012-08-01,9.29,9.42,8.99,9.04,7.111597,65973000
2012-08-02,8.99,9.03,8.82,8.92,7.017194,45326500
2012-08-03,9.02,9.15,8.96,9.09,7.150931,38631400
2012-08-06,9.13,9.21,9.09,9.15,7.19813,23819100
2012-08-07,9.18,9.39,9.18,9.31,7.324,43574500
2012-08-08,9.25,9.38,9.24,9.35,7.355467999999999,22630300
2012-08-09,9.31,9.46,9.3,9.34,7.3476,30909800
2012-08-10,9.3,9.36,9.23,9.35,7.355467999999999,19618800
2012-08-13,9.35,9.42,9.25,9.4,7.394800999999999,21122000
2012-08-14,9.45,9.66,9.42,9.44,7.42627,21129500
2012-08-15,9.44,9.54,9.41,9.49,7.465603999999999,21308300
2012-08-16,9.5,9.67,9.49,9.59,7.544271000000001,34323700
2012-08-17,9.65,9.66,9.6,9.63,7.575738,34533900
2012-08-20,9.58,9.64,9.51,9.63,7.575738,38923800
2012-08-21,9.65,9.7,9.52,9.53,7.49707,26281100
2012-08-22,9.5,9.56,9.4,9.49,7.465603999999999,26965500
2012-08-23,9.45,9.54,9.42,9.45,7.434133999999999,23537700
2012-08-24,9.42,9.52,9.41,9.49,7.465603999999999,19574600
2012-08-27,9.51,9.52,9.38,9.39,7.386936,22754200
2012-08-28,9.37,9.44,9.31,9.34,7.3476,23084400
2012-08-29,9.33,9.4,9.29,9.32,7.331867,26115700
2012-08-30,9.3,9.34,9.25,9.31,7.324,16459400
2012-08-31,9.39,9.43,9.31,9.34,7.3476,28029200
2012-09-04,9.37,9.47,9.35,9.41,7.402669,37965000
2012-09-05,9.45,9.62,9.39,9.57,7.528536999999999,40608800
2012-09-06,9.66,9.96,9.66,9.92,7.803874,67996400
2012-09-07,9.95,10.23,9.93,10.14,7.976945,60617000
2012-09-10,10.08,10.28,10.06,10.11,7.953345,43381300
2012-09-11,10.18,10.25,10.13,10.15,7.984811,28165300
2012-09-12,10.25,10.3,10.17,10.21,8.032015,28046500
2012-09-13,10.2,10.38,10.12,10.34,8.13428,50920200
2012-09-14,10.41,10.57,10.39,10.53,8.28375,55934300
2012-09-17,10.27,10.42,10.26,10.39,8.173616,31922200
2012-09-18,10.3,10.45,10.28,10.42,8.197217,34937000
2012-09-19,10.49,10.66,10.45,10.59,8.330950999999999,42403000
2012-09-20,10.48,10.52,10.35,10.44,8.212951,28755100
2012-09-21,10.53,10.54,10.36,10.4,8.181483,35459800
2012-09-24,10.3,10.4,10.26,10.32,8.11855,28557900
2012-09-25,10.35,10.37,10.06,10.09,7.937611,36866300
2012-09-26,9.98,10.12,9.86,10.01,7.874677,44362600
2012-09-27,10.13,10.18,10.02,10.02,7.882542,25740900
2012-09-28,9.99,10.0,9.81,9.86,7.756674,44586300
2012-10-01,9.89,10.08,9.88,9.93,7.811744,33445600
2012-10-02,10.01,10.05,9.71,9.79,7.701606,63630000
2012-10-03,9.82,10.02,9.76,9.94,7.819609,51023800
2012-10-04,10.06,10.15,9.96,10.11,7.953345,46855500
2012-10-05,10.17,10.28,10.13,10.16,7.992681,40693900
2012-10-08,10.06,10.12,9.99,10.05,7.906147,25473900
2012-10-09,10.21,10.25,10.02,10.1,7.945479,38235700
2012-10-10,10.12,10.12,9.95,9.98,7.851077,33951600
2012-10-11,10.06,10.26,10.05,10.14,7.976945,39328700
2012-10-12,10.14,10.25,10.09,10.12,7.961212,24108500
2012-10-15,10.11,10.25,10.09,10.22,8.039881,26466500
2012-10-16,10.26,10.32,10.22,10.3,8.102815,32788400
2012-10-17,10.31,10.41,10.26,10.41,8.189347999999999,29346300
2012-10-18,10.36,10.57,10.33,10.43,8.205085,44041700
2012-10-19,10.42,10.43,10.13,10.18,8.008413000000001,40493000
2012-10-22,10.14,10.24,10.03,10.17,8.000546,39149700
2012-10-23,10.02,10.11,9.97,10.0,7.866811,32476500
2012-10-24,10.08,10.29,10.01,10.17,8.000546,49339800
2012-10-25,10.42,10.49,10.28,10.39,8.173616,59290900
2012-10-26,10.35,10.42,10.22,10.36,8.150017,43485500
2012-10-31,10.7,11.17,10.6,11.16,8.821935,137960900
2012-11-01,11.19,11.3,10.88,11.25,8.893084,88770100
2012-11-02,11.31,11.38,11.15,11.17,8.829841,53399000
2012-11-05,11.15,11.35,11.13,11.25,8.893084,37995000
2012-11-06,11.33,11.59,11.26,11.42,9.027465,51232200
2012-11-07,11.25,11.34,11.04,11.06,8.742888,56674900
2012-11-08,11.07,11.23,10.89,10.9,8.616406,45948800
2012-11-09,10.76,11.1,10.71,10.93,8.640122999999999,40703600
2012-11-12,11.03,11.16,10.96,10.97,8.671742,25723100
2012-11-13,10.89,11.1,10.86,11.0,8.695458,33342900
2012-11-14,11.02,11.05,10.62,10.67,8.434596,45664700
2012-11-15,10.57,10.8,10.46,10.57,8.355545,48879800
2012-11-16,10.58,10.64,10.38,10.5,8.300208999999999,45346200
2012-11-19,10.65,10.9,10.65,10.83,8.561074000000001,39359100
2012-11-20,10.85,11.02,10.76,10.85,8.576883,34739800
2012-11-21,10.84,11.0,10.8,10.92,8.632217,21181700
2012-11-23,10.98,11.1,10.96,11.1,8.774508,16032200
2012-11-26,11.05,11.14,10.97,11.11,8.782413,26831700
2012-11-27,11.1,11.27,11.1,11.1,8.774508,37610000
2012-11-28,11.05,11.26,10.98,11.25,8.893084,38496900
2012-11-29,11.32,11.53,11.32,11.53,9.114421,57289300
2012-11-30,11.52,11.6,11.33,11.45,9.051181,41329600
2012-12-03,11.56,11.7,11.4,11.41,9.019561999999999,47746300
2012-12-04,11.4,11.44,11.23,11.31,8.940512,37760200
2012-12-05,11.32,11.4,11.18,11.31,8.940512,33152400
2012-12-06,11.26,11.31,11.19,11.24,8.885178,31065800
2012-12-07,11.27,11.5,11.26,11.48,9.074895,38404500
2012-12-10,11.41,11.53,11.41,11.47,9.066989999999999,26025200
2012-12-11,11.51,11.58,11.4,11.49,9.0828,36326900
2012-12-12,11.52,11.56,11.43,11.47,9.066989999999999,31099900
2012-12-13,11.46,11.5,11.21,11.27,8.908892999999999,35443200
2012-12-14,11.27,11.27,11.03,11.1,8.774508,36933500
2012-12-17,11.16,11.41,11.14,11.39,9.003753999999999,46983300
2012-12-18,11.48,11.68,11.4,11.67,9.225091,61810400
2012-12-19,11.79,11.85,11.62,11.73,9.27252,54884700
2012-12-20,11.74,11.8,11.58,11.77,9.30414,47750100
2012-12-21,11.55,11.86,11.47,11.86,9.375283999999999,94489300
2012-12-24,11.67,12.4,11.67,12.4,9.802154,91734900
2012-12-26,12.31,12.79,12.31,12.79,10.110444000000001,140331900
2012-12-27,12.79,12.81,12.36,12.76,10.086732000000001,108315100
2012-12-28,12.55,12.88,12.52,12.87,10.173685,95668600
2012-12-31,12.88,13.08,12.76,12.95,10.236925,106908900
2013-01-02,13.23,13.28,13.0,13.2,10.43455,75274700
2013-01-03,13.24,13.7,13.05,13.46,10.640079,121284700
2013-01-04,13.51,13.61,13.35,13.57,10.727033,54669900
2013-01-07,13.52,13.58,13.35,13.43,10.616364,43482400
2013-01-08,13.38,13.43,13.2,13.35,10.553125,46336200
2013-01-09,13.4,13.6,13.39,13.47,10.647984,36973900
2013-01-10,13.78,13.94,13.68,13.83,10.932561999999999,84884300
2013-01-11,14.0,14.07,13.9,14.0,11.066946000000002,67641200
2013-01-14,14.04,14.08,13.86,13.99,11.05904,46224800
2013-01-15,13.91,14.3,13.89,14.3,11.304097,55425000
2013-01-16,14.16,14.25,14.01,14.22,11.240857,51453400
2013-01-17,14.27,14.3,14.07,14.22,11.240857,44299300
2013-01-18,14.1,14.13,13.97,14.11,11.153902,45716100
2013-01-22,14.06,14.19,14.0,14.17,11.201329,35467900
2013-01-23,14.0,14.02,13.79,13.88,10.972088000000001,58122200
2013-01-24,13.82,13.98,13.81,13.87,10.964183,42532700
2013-01-25,13.83,13.84,13.64,13.68,10.813988,53405400
2013-01-28,13.49,13.82,13.42,13.78,10.97325,51189300
2013-01-29,13.56,13.61,12.89,13.14,10.463607000000001,131146500
2013-01-30,13.01,13.2,12.89,12.93,10.296382000000001,59595900
2013-01-31,12.86,13.02,12.67,12.95,10.312307,65844000
2013-02-01,13.1,13.13,12.94,13.02,10.36805,45222500
2013-02-04,12.94,13.0,12.86,12.88,10.256566000000001,32702200
2013-02-05,12.97,13.25,12.94,13.18,10.495461,39116500
2013-02-06,13.13,13.27,13.05,13.2,10.511388,33520400
2013-02-07,13.26,13.31,13.0,13.07,10.407866,33987500
2013-02-08,13.1,13.16,13.05,13.1,10.431756,18613300
